set_freq,peak_freq,peak_amp
100,102.28271484375,110822644.69393839
100,102.28271484375,109610194.00332768
100,102.28271484375,110941097.44255918
200,199.18212890625,146942708.80933228
200,199.18212890625,146905766.7205551
200,199.18212890625,146938645.7056857
300,301.46484375,134942480.57791048
300,301.46484375,134892414.5634557
300,301.46484375,134891858.514829
400,398.3642578125,130546858.87400515
400,398.3642578125,130193331.60876445
400,398.3642578125,130173670.83407335
500,500.64697265625,149023842.75767374
500,500.64697265625,149005767.7896897
500,500.64697265625,149063382.59341773
700,699.8291015625,152360747.80973482
700,699.8291015625,152310809.8194087
700,699.8291015625,152324601.91871202
1000,1001.2939453125,138701946.01151094
1000,1001.2939453125,138632567.4426484
1000,1001.2939453125,138474415.8553558
1500,1501.94091796875,121949110.36624959
1500,1501.94091796875,122055128.9324365
1500,1501.94091796875,122013601.38068081
2000,2002.587890625,101153725.60568443
2000,2002.587890625,101194015.95892039
2000,2002.587890625,101314373.07038775
2500,2497.8515625,114662858.53345646
2500,2497.8515625,114277323.64051181
2500,2497.8515625,115497632.8445245
3000,2998.49853515625,132472367.07808375
3000,2998.49853515625,132558194.92026894
3000,2998.49853515625,132923399.43674174
3500,3499.1455078125,145967874.2364672
3500,3499.1455078125,145854157.29443663
3500,3499.1455078125,146514192.42946982
4000,3999.79248046875,151053319.05771244
4000,3999.79248046875,150401055.83943233
4000,3999.79248046875,150760373.860521
4500,4500.439453125,147612839.19341588
4500,4500.439453125,148211987.31039053
4500,4500.439453125,148093897.58962566
5000,5001.08642578125,140319835.32159767
5000,5001.08642578125,140261292.47899017
5000,5001.08642578125,140168679.47899827
5500,5501.7333984375,128399804.47420776
5500,5501.7333984375,129930411.24278766
5500,5501.7333984375,128789463.6569542
6000,6002.38037109375,102296799.85927877
6000,6002.38037109375,105409674.96294971
6000,6002.38037109375,105936355.71341816
6500,6497.64404296875,95670386.9053713
6500,6497.64404296875,98478868.5579633
6500,6497.64404296875,96642491.48984766
7000,6998.291015625,118663014.32759097
7000,6998.291015625,119661692.469265
7000,6998.291015625,122662325.92448653
7500,7498.93798828125,134575024.92122567
7500,7498.93798828125,135975261.53624249
7500,7498.93798828125,135469700.27542436
8000,7999.5849609375,143253559.5175318
8000,7999.5849609375,143160341.62331334
8000,7999.5849609375,143241602.13907707
8500,8500.23193359375,140178543.58368003
8500,8500.23193359375,138600605.05180168
8500,8500.23193359375,140027135.6241146
9000,9000.87890625,138885087.73865077
9000,9000.87890625,139601010.4777033
9000,9000.87890625,139766887.97630814
9500,9501.52587890625,116216268.53195463
9500,9501.52587890625,117403869.61428751
9500,9501.52587890625,117235416.8212404
10000,10002.1728515625,110181205.43121533
10000,10002.1728515625,106602805.39947678
10000,10002.1728515625,106932156.08674148
10500,10497.4365234375,102685908.97245985
10500,10497.4365234375,99091433.20566018
10500,10497.4365234375,102434882.56213072
11000,10998.08349609375,102501174.85658139
11000,10998.08349609375,106247470.33336985
11000,10998.08349609375,106444785.90419829
11500,11498.73046875,135246662.51665407
11500,11498.73046875,135176393.72772208
11500,11498.73046875,134774439.50562832
12000,11999.37744140625,139718603.3958384
12000,11999.37744140625,139769254.34863746
12000,11999.37744140625,133856425.19645298
12500,12500.0244140625,140830187.7462417
12500,12500.0244140625,140802395.51118407
12500,12500.0244140625,140844376.79474485
13000,13000.67138671875,140829206.53719634
13000,13000.67138671875,140578450.09448725
13000,13000.67138671875,140584636.2689399
13500,13501.318359375,103801023.8008509
13500,13501.318359375,102485634.13822038
13500,13501.318359375,98101350.03532036
