set_freq,peak_freq,peak_amp
100,102.28271484375,31231.736016721836
100,102.28271484375,33006.16926533201
100,102.28271484375,32784.54038184306
200,199.18212890625,47750.30960214396
200,199.18212890625,48332.66783760091
200,199.18212890625,50651.24897691117
300,301.46484375,41458.6416791831
300,301.46484375,42439.48505661602
300,301.46484375,43880.11808617846
400,398.3642578125,42504.89072119838
400,398.3642578125,43943.29749630875
400,398.3642578125,45576.19671474346
500,500.64697265625,52467.1310748347
500,500.64697265625,50554.434500131356
500,500.64697265625,52746.23256196418
700,699.8291015625,46518.489389921175
700,699.8291015625,47544.78941631199
700,699.8291015625,46485.07630346496
1000,1001.2939453125,46889.30547494397
1000,1001.2939453125,46721.88307430264
1000,1001.2939453125,45905.37994625167
1500,1501.94091796875,37528.30530992934
1500,1501.94091796875,37454.981361012484
1500,1501.94091796875,37312.751572634246
2000,2002.587890625,30711.57403262908
2000,2002.587890625,31003.40602399148
2000,2002.587890625,30817.41969284885
2500,2503.23486328125,32650.48912956694
2500,2497.8515625,34920.99582584224
2500,2497.8515625,35894.66454387754
3000,2998.49853515625,40958.96385726525
3000,2998.49853515625,40274.57847709998
3000,2998.49853515625,40687.41049791135
3500,3499.1455078125,43057.25739391495
3500,3499.1455078125,40448.477651380344
3500,3499.1455078125,43035.26044685115
4000,3999.79248046875,44788.12268374757
4000,3999.79248046875,44670.997375916355
4000,3999.79248046875,45401.82622714595
4500,4500.439453125,44253.01997520989
4500,4500.439453125,43165.67752581464
4500,4500.439453125,43334.528480174464
5000,5001.08642578125,40968.02127127592
5000,5001.08642578125,40268.14159962065
5000,5001.08642578125,40075.975905359024
5500,5501.7333984375,36867.195254210696
5500,5501.7333984375,36468.57561505534
5500,5501.7333984375,38273.81476861324
6000,6002.38037109375,30642.2421416771
6000,6002.38037109375,29660.922206465766
6000,6002.38037109375,29230.06492932033
6500,6497.64404296875,27952.49280019914
6500,6503.02734375,28063.444508247674
6500,6503.02734375,28162.209120643827
7000,6998.291015625,33189.28120404628
7000,6998.291015625,32842.79215157809
7000,6998.291015625,31386.689030962567
7500,7498.93798828125,38843.51039352841
7500,7498.93798828125,37877.891627824254
7500,7498.93798828125,39289.27443654309
8000,7999.5849609375,41120.14118475469
8000,7999.5849609375,41632.16305411387
8000,7999.5849609375,41689.38327287395
8500,8500.23193359375,41630.66398560746
8500,8500.23193359375,41578.008145972926
8500,8500.23193359375,41951.94357428434
9000,9000.87890625,41897.06833873581
9000,9000.87890625,42272.09030676192
9000,9000.87890625,42105.58061010047
9500,9501.52587890625,40864.15740048678
9500,9501.52587890625,41263.65908550907
9500,9501.52587890625,39895.87137007027
10000,10002.1728515625,33864.64146173469
10000,10002.1728515625,37685.923774245886
10000,10002.1728515625,34537.842588954045
10500,10497.4365234375,33356.63286606507
10500,10502.81982421875,29578.09216266316
10500,10497.4365234375,32115.060271610542
11000,10998.08349609375,33584.91224891236
11000,10998.08349609375,32947.117695183726
11000,10998.08349609375,34142.33087526243
11500,11498.73046875,42268.007739462104
11500,11498.73046875,43572.19354316974
11500,11498.73046875,44312.690994579665
12000,11999.37744140625,47396.903713723754
12000,11999.37744140625,46792.23003044281
12000,11999.37744140625,47634.09309431835
12500,12500.0244140625,46977.99238001283
12500,12500.0244140625,46387.39106645125
12500,12500.0244140625,46289.94594372415
13000,13000.67138671875,39944.027407745554
13000,13000.67138671875,39552.78110222962
13000,13000.67138671875,39782.85933728249
13500,13501.318359375,25823.65332254107
13500,13501.318359375,24767.440399533814
13500,13501.318359375,25156.261571514344
14000,14001.96533203125,24491.63163581193
14000,14001.96533203125,23857.442832170673
14000,14001.96533203125,24728.486479779407
14500,14502.6123046875,16160.796160668951
14500,14502.6123046875,15485.257371356438
14500,14502.6123046875,16094.499569009382
15000,0.0,23650.0
15000,0.0,11973.0
15000,14997.8759765625,6201.74743948222
15250,15250.89111328125,12512.024139782348
15250,15250.89111328125,12692.25904431176
15250,15250.89111328125,13068.167950912813
15500,0.0,8516.0
15500,0.0,7267.0
15500,10.7666015625,6011.182355376038
15750,0.0,11600.0
15750,0.0,8592.0
15750,15751.5380859375,6770.7659588722745
16000,5.38330078125,8850.401707149049
16000,10.7666015625,5767.051795988934
16000,0.0,11780.0
